SDK,DAT,PRA,DES,CON,PUR,text
,"App activity,. data on page views and taps in the app?.","Collected,. Yes *.. Shared,. Yes.. Required,. Yes.",,,"Purpose,. Advertising or marketing, analytics, fraud prevention, security, and compliance.","App activity, Does the SDK collect data on page views and taps in the app?. Collected, Yes*. Shared, Yes. Ephemeral, No. Required, Yes. Purpose, Advertising or marketing, analytics, fraud prevention, security, and compliance."
,"App activity,. in - app search history?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","App activity, Does the SDK collect in-app search history?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"App activity,. data on installed apps?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","App activity, Does the SDK collect data on installed apps?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"App activity,. data on any other user - generated content?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","App activity, Does the SDK collect data on any other user-generated content?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"App activity,. data on any other app activity?.","Collected,. Yes * *.. Shared,. Yes.. Required,. Yes.",,,"Purpose,. Advertising or marketing, analytics, fraud prevention, security, and compliance.","App activity, Does the SDK collect data on any other app activity?. Collected, Yes**. Shared, Yes. Ephemeral, No. Required, Yes. Purpose, Advertising or marketing, analytics, fraud prevention, security, and compliance."
,"Web browsing,. data on the user ’ s web browsing history?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Web browsing, Does the SDK collect data on the user’s web browsing history?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"App info and performance,. crash logs?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","App info and performance, Does the SDK collect crash logs?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"App info and performance,. app diagnostics?.","Collected,. Yes.. Shared,. Yes.. Required,. Yes.",,,"Purpose,. App functionality, analytics.","App info and performance, Does the SDK collect app diagnostics?. Collected, Yes. Shared, Yes. Ephemeral, No. Required, Yes. Purpose, App functionality, analytics."
,"App info and performance,. other app performance data?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","App info and performance, Does the SDK collect any other app performance data?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Device or other identifiers,. data on the user ’ s device or other identifiers?.","Collected,. Yes.. Shared,. Yes.. Required,. Yes.",,,"Purpose,. Advertising or marketing, analytics, app functionality, fraud prevention, security, and compliance.","Device or other identifiers, Does the SDK collect data on the user’s device or other identifiers?. Collected, Yes. Shared, Yes. Ephemeral, No. Required, Yes. Purpose, Advertising or marketing, analytics, app functionality, fraud prevention, security, and compliance."
